name,population,local_gove,long,lat
Dallarnil,44,North Burnett Regional,152.045656,-25.3867435
Deeral,93,Cairns Regional,145.9150355,-17.2213419999999
Edmonton,29841,Cairns Regional,145.7432975,-17.021286
El Arish,220,Cassowary Coast Regional,146.005545,-17.8040159999999
Finch Hatton,260,Mackay Regional,148.6319405,-21.1405629999999
Myola,372,Mareeba Shire,145.608361,-16.8050165
New Mapoon,274,Northern Peninsula Area Regional,142.3842245,-10.867132
Ogmore,21,Livingstone Shire,149.658569,-22.6197134999999
Pinnacle,50,Mackay Regional,148.715265,-21.148389
Windera,132,South Burnett Regional,151.830422,-26.0479895
Woodstock,35,Townsville City,146.8353785,-19.596146
Yalboroo,36,Mackay Regional,148.6504285,-20.8360544999999
Benaraby,600,Gladstone Regional,151.3204155,-24.0078334999999
Tinana,4877,Fraser Coast Regional,152.677089,-25.5514085
Hector,140,Mackay Regional,149.269807,-21.2769294999999
Dittmer,400,Whitsunday Regional,148.4019555,-20.4508764999999
Bangalee,40,Gladstone Regional,151.4321085,-24.0059335
Brooweena,263,Fraser Coast Regional,152.264,-25.6008785
Jambin,295,Banana Shire,150.37105174,-24.1958611119999
Jerona,280,Burdekin Shire,147.237843,-19.4463069999999
Maidenwell,458,South Burnett Regional,151.79944,-26.847164
Many Peaks,1280,Gladstone Regional,151.370795,-24.543247
Moonford,1400,North Burnett Regional,151.035114,-24.7628994999999
Mungungo,270,North Burnett Regional,151.16415,-24.7678104999999
Palm Islands,2336,Palm Island Aboriginal Shire,146.579777,-18.734478
Moojeeba,4,Cook Shire,143.6402055,-14.0797909999999
Silkwood,712,Cassowary Coast Regional,146.020818,-17.745961
Tinaroo Falls,440,Tablelands Regional,145.5490275,-17.169013
Wangetti,40,Douglas Shire,145.5668635,-16.658612
Wetheron,8,North Burnett Regional,151.7190365,-25.5454114999999
McEwens Beach,138,Mackay Regional,149.20548,-21.25123
Kumbia,167,South Burnett Regional,151.6547885,-26.6902969999999
Maleny,2489,Sunshine Coast Regional,152.8483385,-26.758093
Marian,2256,Mackay Regional,148.948135,-21.146487
Maryborough,26214,Fraser Coast Regional,152.6970565,-25.5337964999999
Stanage,71,Livingstone Shire,150.0499445,-22.136883
Tarzali,205,Tablelands Regional,145.603813,-17.4246214999999
Thornton Beach,11,Douglas Shire,145.441265,-16.1728444999999
Tieri,1479,Central Highlands Regional,148.343871,-23.0375925
Tinnanbar,235,Fraser Coast Regional,152.9573145,-25.7588289999999
Traveston,208,Gympie Regional,152.782177,-26.3203594999999
Tully Heads,438,Cassowary Coast Regional,146.056935,-18.018543
Ubobo,25,Gladstone Regional,151.321678,-24.4050609999999
Walkers Point,15,Bundaberg Regional,152.5919885,-25.1699444999999
Wallaville,177,Bundaberg Regional,151.995285,-25.075845
Wandoan,330,Western Downs Regional,149.9618255,-26.1208144999999
Woorabinda,936,Woorabinda Aboriginal Shire,149.457357,-24.1316495
Yabulu,675,Townsville City,146.601899,-19.2138219999999
Seventeen Seventy,64,Gladstone Regional,151.885127,-24.1643324999999
Apple Tree Creek,456,Bundaberg Regional,152.23743,-25.2240325
Conondale,161,Sunshine Coast Regional,152.718297,-26.7309984999999
Torbanlea,290,Fraser Coast Regional,152.594642,-25.34608
River Heads,1295,Fraser Coast Regional,152.910228,-25.4077584999999
Aldershot,569,Fraser Coast Regional,152.660282,-25.462528
Aloomba,135,Cairns Regional,145.832183,-17.1100165
Ambrose,123,Gladstone Regional,150.923422,-23.784748
Thangool,296,Banana Shire,150.5734445,-24.487071
Tin Can Bay,1994,Gympie Regional,153.003424,-25.9165859999999
Trebonne,319,Hinchinbrook Shire,146.077917,-18.6266835
Tumoulin,84,Tablelands Regional,145.4535505,-17.564611
Umagico,280,Northern Peninsula Area Regional,142.3495185,-10.892486
Walkerston,3089,Mackay Regional,149.0579305,-21.1610219999999
Wangan,585,Cassowary Coast Regional,146.0104045,-17.5741439999999
Weipa,3334,Weipa Town,141.87408,-12.631683
Westwood,107,Rockhampton Regional,150.1545615,-23.6247225
Wongaling Beach,1063,Cassowary Coast Regional,146.096347,-17.9140135
Wooroolin,121,South Burnett Regional,151.815283,-26.4114729999999
Yarwun,88,Gladstone Regional,151.1264715,-23.8457109999999
Hervey Bay,48680,Fraser Coast Regional,152.8488575,-25.289623
Abergowrie,176,Hinchinbrook Shire,145.8857055,-18.475629
Alpha,349,Barcaldine Regional,146.640733,-23.649739
Armstrong Beach,594,Mackay Regional,149.2905385,-21.4504734999999
Aurukun,1288,Aurukun Shire,141.727436,-13.3558399999999
Ball Bay,347,Mackay Regional,148.996888,-20.9066065
Bauhinia,7,Central Highlands Regional,149.292398,-24.569133
Biloela,5808,Banana Shire,150.514342,-24.398388
Bluewater,574,Townsville City,146.555974,-19.1771879999999
Bogantungan,5,Central Highlands Regional,147.2893,-23.6474365
Bororen,151,Gladstone Regional,151.495322,-24.2445685
Builyan,81,Gladstone Regional,151.3862875,-24.5306495
Capella,926,Central Highlands Regional,148.0250225,-23.084034
Gordonvale,5482,Cairns Regional,145.786241,-17.0929649999999
Guluguba,110,Western Downs Regional,150.0442645,-26.2566385
Hideaway Bay,420,Whitsunday Regional,148.481497,-20.079242
Hull Heads,101,Cassowary Coast Regional,146.0697925,-17.9968325
Innes Park,2031,Bundaberg Regional,152.47888,-24.868027
Kabra,313,Rockhampton Regional,150.39765,-23.4710259999999
Keppel Sands,302,Livingstone Shire,150.7917005,-23.329177
Kuttabul,150,Mackay Regional,148.908632,-21.037681
Lockhart River,463,Lockhart River Aboriginal Shire,143.342867,-12.786257
Lucinda,450,Hinchinbrook Shire,146.334853,-18.5355524999999
Mackay,74219,Mackay Regional,149.185891,-21.141206
Marlborough,97,Livingstone Shire,149.891691,-22.813142
Middlemount,1914,Isaac Regional,148.70142,-22.8103295
Millaa Millaa,272,Tablelands Regional,145.611673,-17.511242
Miriam Vale,423,Gladstone Regional,151.5583975,-24.3270745
Mondure,61,South Burnett Regional,151.7743505,-26.1811509999999
Moranbah,8626,Isaac Regional,148.0537245,-22.001541
Mossman,1732,Douglas Shire,145.373563,-16.461535
Mount Coolon,15,Whitsunday Regional,147.3397005,-21.3836525
Mount Larcom,278,Gladstone Regional,150.9789425,-23.8114825
