job,Burdekin,Burnett Mary,Cape York,Fitzroy,Mackay Whitsunday,Wet Tropics,Total GBR,Queensland,Australia
"Agriculture, forestry and fishing",15679,15567,13567,19432,59063,14718,24847,17619,15494
Mining,75039,69986,84893,83561,78046,64649,18696,80938,84867
Manufacturing,49406,39359,47526,55660,57485,39494,78203,45294,47681
"Electricity, gas, water and waste services",71720,69638,48134,74389,55407,62272,48497,70198,69394
Construction,42694,43214,25610,51173,51972,38457,67115,46119,46673
Wholesale trade,35822,30040,27037,40867,43886,31498,45688,39215,42750
Retail trade,22008,21286,17781,23297,20831,21716,36712,23736,24646
Accommodation and food services,13646,15468,14732,13888,15570,16696,21873,15636,16181
"Transport, postal and warehousing",46094,34276,33543,54828,50687,38658,15124,45060,46952
Information media and telecommunications,38657,33208,44364,29682,32652,24212,44948,40180,48464
Financial and Insurance Services,32831,23633,17585,25830,27406,28426,31636,38922,54805
"Rental, hiring and real estate services",30096,26103,20371,32207,32545,25762,27290,32442,36840
"Professional, scientific and technical services",43294,35776,18981,51888,46906,34800,29142,48209,50899
Administrative and support services,20451,21367,18240,24538,24155,21709,42865,22906,24317
Public administration and safety,49341,39552,29546,43025,37925,46834,22369,47289,51329
Education and training,35271,34571,32146,35125,34576,34356,44502,34976,35070
Health care and social assistance,40864,36006,30986,34131,36196,37503,34768,39357,34568
Arts and recreation services,19047,13950,14484,10796,12773,19435,37062,18822,21240
Other services,27617,25479,18012,33457,39850,25723,16671,28806,30316
Unknown,23764,22438,18187,27818,34553,18957,30226,26854,25936
