proud_world_heritage,asset,identity,quality_of_life,aesthetic,love_live_beside,NRM
5,5,5,5,5,5,Burdekin
,,2,8,10,10,Burdekin
8,9,10,8,8,10,Burdekin
10,10,7,10,10,10,Burdekin
10,10,1,2,10,10,Burdekin
10,10,5,5,10,1,Burdekin
10,10,1,5,10,,Burdekin
10,10,10,10,10,10,Burdekin
10,6,5,10,6,10,Burdekin
10,10,1,10,10,8,Burdekin
10,10,10,10,10,10,Burdekin
9,9,8,8,9,7,Burdekin
10,10,10,6,10,9,Burdekin
10,10,10,10,10,8,Burdekin
10,10,10,10,10,10,Burdekin
8,8,10,10,8,7,Burdekin
10,10,10,10,10,6,Burdekin
2,8,1,1,1,4,Burdekin
5,10,6,8,6,10,Burdekin
10,10,7,6,8,9,Burdekin
9,9,5,6,8,6,Burdekin
10,10,1,10,,10,Burdekin
6,7,2,2,6,7,Burdekin
9,10,5,9,9,10,Burdekin
10,10,2,6,10,10,Burdekin
10,10,7,10,8,10,Burdekin
9,9,4,8,10,10,Burdekin
9,9,6,8,9,8,Burdekin
7,10,10,10,10,6,Burdekin
6,8,3,8,7,8,Burdekin
10,9,1,7,10,10,Burdekin
10,10,10,10,7,10,Burdekin
10,10,6,8,10,10,Burdekin
6,6,1,2,7,5,Burdekin
10,10,10,10,10,10,Burdekin
10,10,10,10,10,10,Burdekin
10,10,10,10,10,10,Burdekin
10,7,5,8,8,9,Burdekin
10,10,10,10,10,10,Burdekin
10,10,8,10,8,10,Burdekin
10,10,4,4,10,10,Burdekin
10,10,5,10,10,10,Burdekin
10,10,3,8,10,10,Burdekin
10,10,2,3,10,10,Burdekin
9,9,6,3,7,5,Burdekin
10,10,5,10,10,10,Burdekin
10,10,5,8,10,10,Burdekin
10,10,10,10,10,10,Burdekin
10,10,10,10,10,10,Burdekin
10,10,5,5,8,9,Burdekin
8,8,7,6,9,10,Burdekin
10,10,6,8,8,7,Burdekin
8,8,2,2,6,7,Burdekin
9,9,6,6,6,9,Burdekin
8,8,8,8,8,10,Burdekin
10,10,10,10,10,10,Burdekin
10,10,10,10,10,10,Burdekin
10,10,10,10,10,10,Burdekin
,,,,,,Burdekin
7,8,5,6,9,8,Burdekin
10,10,3,8,6,8,Burdekin
9,10,7,8,10,9,Burdekin
10,10,10,10,10,10,Burdekin
10,10,1,10,8,10,Burdekin
10,10,10,10,9,10,Burdekin
10,8,6,10,10,10,Burdekin
10,8,5,6,9,8,Burdekin
10,10,7,8,10,10,Burdekin
10,10,8,8,10,10,Burdekin
7,7,7,7,7,10,Burdekin
10,10,4,3,10,6,Burdekin
10,10,10,10,10,10,Burdekin
10,10,10,10,10,10,Burdekin
8,8,6,6,9,6,Burdekin
10,10,5,10,10,10,Burdekin
10,10,10,8,10,8,Burdekin
8,8,3,6,9,10,Burdekin
9,9,4,8,10,10,Burdekin
10,10,3,10,10,10,Burdekin
10,5,1,5,10,7,Burdekin
10,10,6,6,9,6,Burdekin
8,8,5,5,8,6,Burdekin
10,10,6,6,10,10,Burdekin
9,9,7,8,9,9,Burdekin
9,9,6,6,9,10,Burdekin
8,8,5,7,10,5,Burdekin
8,8,6,6,8,8,Burdekin
10,10,6,10,10,10,Burdekin
10,10,1,5,10,10,Burdekin
10,10,7,10,10,7,Burdekin
10,10,5,7,8,5,Burdekin
10,10,5,8,10,10,Burdekin
10,10,5,10,8,8,Burdekin
10,10,7,10,10,8,Burdekin
10,10,7,8,,10,Burdekin
