Management_Area,Year,Quarter,visits
Cairns/Cooktown,2015,Jan-Mar 2015,291131
Cairns/Cooktown,2015,Apr-Jun 2015,240790
Cairns/Cooktown,2015,Jul-Sep 2015,359874
Cairns/Cooktown,2015,Oct-Dec 2015,352170
Far Northern,2015,Jan-Mar 2015,1059
Far Northern,2015,Apr-Jun 2015,1128
Far Northern,2015,Jul-Sep 2015,1356
Far Northern,2015,Oct-Dec 2015,4100
Mackay/Capricorn,2015,Apr-Jun 2015,32091
Mackay/Capricorn,2015,Jan-Mar 2015,34927
Mackay/Capricorn,2015,Jul-Sep 2015,47767
Mackay/Capricorn,2015,Oct-Dec 2015,50113
Townsville/Whitsunday,2015,Jan-Mar 2015,231625
Townsville/Whitsunday,2015,Apr-Jun 2015,221903
Townsville/Whitsunday,2015,Jul-Sep 2015,261907
Townsville/Whitsunday,2015,Oct-Dec 2015,302936
Cairns/Cooktown,2016,Jan-Mar 2016,379237
Cairns/Cooktown,2016,Apr-Jun 2016,282085
Cairns/Cooktown,2016,Jul-Sep 2016,381613
Cairns/Cooktown,2016,Oct-Dec 2016,376196
Far Northern,2016,Jan-Mar 2016,822
Far Northern,2016,Apr-Jun 2016,906
Far Northern,2016,Jul-Sep 2016,1091
Far Northern,2016,Oct-Dec 2016,1799
Mackay/Capricorn,2016,Jan-Mar 2016,48739
Mackay/Capricorn,2016,Apr-Jun 2016,41720
Mackay/Capricorn,2016,Jul-Sep 2016,51057
Mackay/Capricorn,2016,Oct-Dec 2016,55354
Townsville/Whitsunday,2016,Jan-Mar 2016,302482
Townsville/Whitsunday,2016,Apr-Jun 2016,220849
Townsville/Whitsunday,2016,Jul-Sep 2016,288142
Townsville/Whitsunday,2016,Oct-Dec 2016,334926
Cairns/Cooktown,2017,Jul-Sep 2017,378803
Cairns/Cooktown,2017,Apr-Jun 2017,284685
Cairns/Cooktown,2017,Jan-Mar 2017,351318
Cairns/Cooktown,2017,Oct-Dec 2017,382759
Far Northern,2017,Jan-Mar 2017,735
Far Northern,2017,Apr-Jun 2017,1095
Far Northern,2017,Jul-Sep 2017,1286
Far Northern,2017,Oct-Dec 2017,3101
Mackay/Capricorn,2017,Jan-Mar 2017,44367
Mackay/Capricorn,2017,Apr-Jun 2017,41050
Mackay/Capricorn,2017,Jul-Sep 2017,52802
Mackay/Capricorn,2017,Oct-Dec 2017,53566
Townsville/Whitsunday,2017,Jan-Mar 2017,271021
Townsville/Whitsunday,2017,Apr-Jun 2017,169816
Townsville/Whitsunday,2017,Jul-Sep 2017,266834
Townsville/Whitsunday,2017,Oct-Dec 2017,291883
Cairns/Cooktown,2018,Jan-Mar 2018,352332
Cairns/Cooktown,2018,Apr-Jun 2018,275218
Cairns/Cooktown,2018,Jul-Sep 2018,371977
Cairns/Cooktown,2018,Oct-Dec 2018,328747
Far Northern,2018,Apr-Jun 2018,1526
Far Northern,2018,Jan-Mar 2018,367
Far Northern,2018,Jul-Sep 2018,1352
Far Northern,2018,Oct-Dec 2018,2928
Mackay/Capricorn,2018,Jan-Mar 2018,43972
Mackay/Capricorn,2018,Apr-Jun 2018,39898
Mackay/Capricorn,2018,Jul-Sep 2018,55847
Mackay/Capricorn,2018,Oct-Dec 2018,51887
Townsville/Whitsunday,2018,Jan-Mar 2018,262926
Townsville/Whitsunday,2018,Apr-Jun 2018,208410
Townsville/Whitsunday,2018,Jul-Sep 2018,285015
Townsville/Whitsunday,2018,Oct-Dec 2018,277379
Cairns/Cooktown,2019,Jan-Mar 2019,307601
Cairns/Cooktown,2019,Apr-Jun 2019,247540
Cairns/Cooktown,2019,Jul-Sep 2019,334252
Cairns/Cooktown,2019,Oct-Dec 2019,326102
Far Northern,2019,Apr-Jun 2019,542
Far Northern,2019,Jan-Mar 2019,359
Far Northern,2019,Jul-Sep 2019,1069
Far Northern,2019,Oct-Dec 2019,3066
Mackay/Capricorn,2019,Jan-Mar 2019,44706
Mackay/Capricorn,2019,Apr-Jun 2019,40394
Mackay/Capricorn,2019,Jul-Sep 2019,54023
Mackay/Capricorn,2019,Oct-Dec 2019,56682
Townsville/Whitsunday,2019,Jan-Mar 2019,241217
Townsville/Whitsunday,2019,Apr-Jun 2019,185229
Townsville/Whitsunday,2019,Jul-Sep 2019,244429
Townsville/Whitsunday,2019,Oct-Dec 2019,278808
Cairns/Cooktown,2020,Apr-Jun 2020,3645
Cairns/Cooktown,2020,Jan-Mar 2020,203876
Cairns/Cooktown,2020,Jul-Sep 2020,70469
