id,location,visited_GBR,visited_GBR_num,aust_1_or_over_2,"Q.28 IF AUSTRALIAN - Code State (1=NT, 2=NSW and ACT, 3=VIC, 4=QLD, 5=SA, 6=WA, 7=TAS)",aust_state,country_origin,geopol_region,coord,latitude,longitude
18727447,Townsville,YES,1,2,,,United States,North America ,"38 00 N, 97 00 W",38,-97
18370437,Cairns,YES,1,2,,,Argentina,South America,"34 00 S, 64 00 W",-34,-64
18428554,Airlie Beach,NO,2,2,,,Argentina,South America,"34 00 S, 64 00 W",-34,-64
18428561,Airlie Beach,NO,2,2,,,Argentina,South America,"34 00 S, 64 00 W",-34,-64
18446824,Airlie Beach,YES,1,2,,,Argentina,South America,"34 00 S, 64 00 W",-34,-64
18530930,Cairns,NO,2,2,,,Argentina,South America,"34 00 S, 64 00 W",-34,-64
18608442,Townsville,YES,1,2,,,Argentina,South America,"34 00 S, 64 00 W",-34,-64
18672804,Townsville,YES,1,2,,,Argentina,South America,"34 00 S, 64 00 W",-34,-64
18199882,Townsville,NO,2,1,1,NT,Australia,Oceania,"27 00 S, 133 00 E",-27,133
18200519,Townsville,YES,1,1,1,NT,Australia,Oceania,"27 00 S, 133 00 E",-27,133
18370206,Cairns,NO,2,1,1,NT,Australia,Oceania,"27 00 S, 133 00 E",-27,133
18370217,Cairns,NO,2,1,1,NT,Australia,Oceania,"27 00 S, 133 00 E",-27,133
18370229,Cairns,YES,1,1,1,NT,Australia,Oceania,"27 00 S, 133 00 E",-27,133
18428555,Airlie Beach,NO,2,1,1,NT,Australia,Oceania,"27 00 S, 133 00 E",-27,133
18444163,Airlie Beach,YES,1,1,1,NT,Australia,Oceania,"27 00 S, 133 00 E",-27,133
18821295,Cairns,YES,1,1,1,NT,Australia,Oceania,"27 00 S, 133 00 E",-27,133
18821413,Cairns,YES,1,1,1,NT,Australia,Oceania,"27 00 S, 133 00 E",-27,133
19133271,Kuranda,YES,1,1,1,NT,Australia,Oceania,"27 00 S, 133 00 E",-27,133
18163297,Townsville,NO,2,1,2,NSW,Australia,Oceania,"27 00 S, 133 00 E",-27,133
18172117,Townsville,NO,2,1,2,NSW,Australia,Oceania,"27 00 S, 133 00 E",-27,133
18172146,Townsville,NO,2,1,2,NSW,Australia,Oceania,"27 00 S, 133 00 E",-27,133
18173732,Townsville,YES,1,1,2,NSW,Australia,Oceania,"27 00 S, 133 00 E",-27,133
18184054,Townsville,NO,2,1,2,NSW,Australia,Oceania,"27 00 S, 133 00 E",-27,133
